,Yellow fever virus,Schilling Test,Transcription Factor AP-2,Transcription Factor AP-1,Macula Lutea,Hemorrhagic Septicemia,Electroplating,Arcanobacterium,Jaundice,Histamine H2 Antagonists,"Forefoot, Human",Afghan Campaign 2001-,Hereditary Sensory and Motor Neuropathy,X-Ray Therapy,Depth Perception,Death-Associated Protein Kinases,Fluid Therapy,New Guinea,"Abortion, Therapeutic",Thioglycolates,"Water Loss, Insensible",Carotid Stenosis,Test Taking Skills,Methylergonovine,Omalizumab,Zinc Finger E-box Binding Homeobox 2,Gadolinium,"Lidocaine, Prilocaine Drug Combination",gamma-Butyrobetaine Dioxygenase,Colonialism,DEAD Box Protein 58,Fitness Centers,Tetracycline Resistance,Enoximone,Inflammation Mediators,Retinal Dysplasia,Aldehyde Dehydrogenase,Management Information Systems,Serotonin 5-HT1 Receptor Antagonists,"Receptors, Tumor Necrosis Factor, Member 25",Dermatofibrosarcoma,Oxadiazoles,Lincomycin,E2F2 Transcription Factor,Cytochrome Reductases,Ku Autoantigen,Metacarpal Bones,Extracellular Signal-Regulated MAP Kinases,Mixed Connective Tissue Disease,"Liability, Legal",Olfactory Receptor Neurons,Phenprocoumon,Butanols,"Anemia, Refractory, with Excess of Blasts",Carbon Monoxide Poisoning,Trombiculidae,Financial Support,Animal Scales,"Influenza A Virus, H9N2 Subtype",Encainide,Cross-Cultural Comparison,E2F Transcription Factors,Medicare Part D,Disks Large Homolog 4 Protein,Desert Climate,Bibliometrics,Mouth Floor,Lacosamide,Computer Communication Networks,Pedophilia,Endotoxemia,"Gold Colloid, Radioactive",Salmonella enterica,MafB Transcription Factor,Sexual and Gender Minorities,Stents,"RNA, Satellite",Breath Holding,Urinary Tract Physiological Phenomena,"Psychotherapy, Rational-Emotive",Nitrazepam,Methemoglobin,"Enkephalin, Leucine",Bone Plates,Cefepime,Colombia,"Air Abrasion, Dental",Nitroblue Tetrazolium,Ficus,"N-Methyl-3,4-methylenedioxyamphetamine",Nephrons,Piebaldism
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1969,1,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1971,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
1974,1,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
1975,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
